time,demand
2161,0.537
2162,0.471
2163,0.647
2164,0.662
2165,0.496
2166,0.677
2167,0.662
2168,0.908
2169,0.604
2170,0.57
2171,0.497
2172,0.544
2173,0.61
2174,0.667
2175,0.721
2176,0.766
2177,0.812
2178,0.816
2179,0.791
2180,0.753
2181,0.698
2182,0.638
2183,0.588
2184,0.551
2185,0.826
2186,0.55
2187,0.616
2188,0.547
2189,0.587
2190,1.031
2191,0.748
2192,0.83
2193,0.879
2194,0.84
2195,0.887
2196,0.638
2197,0.586
2198,0.559
2199,0.626
2200,0.712
2201,0.814
2202,0.916
2203,1.001
2204,1.049
2205,1.048
2206,0.996
2207,0.905
2208,0.798
2209,0.727
2210,0.67
2211,0.62
2212,0.588
2213,0.798
2214,0.743
2215,0.756
2216,0.937
2217,0.801
2218,0.547
2219,0.555
2220,0.57
2221,0.596
2222,0.635
2223,0.687
2224,0.747
2225,0.808
2226,0.858
2227,0.885
2228,0.882
2229,0.542
2230,0.779
2231,0.702
2232,0.632
2233,0.602
2234,0.517
2235,0.555
2236,0.793
2237,0.678
2238,0.549
2239,0.659
2240,0.697
2241,0.8
2242,0.477
2243,0.53
2244,0.848
2245,0.477
2246,0.522
2247,0.59
2248,0.681
2249,0.789
2250,0.898
2251,0.984
2252,1.026
2253,1.006
2254,0.923
2255,0.8
2256,0.677
2257,0.685
2258,0.628
2259,0.604
2260,0.534
2261,0.503
2262,0.484
2263,0.474
2264,0.47
2265,0.472
2266,0.478
2267,0.489
2268,0.508
2269,0.538
2270,0.581
2271,0.641
2272,0.716
2273,0.802
2274,0.88
2275,0.933
2276,0.95
2277,0.597
2278,0.861
2279,0.771
2280,0.681
2281,0.606
2282,0.577
2283,0.587
2284,0.543
2285,0.546
2286,0.739
2287,0.706
2288,1.002
2289,0.632
2290,0.445
2291,0.458
2292,0.478
2293,0.508
2294,0.554
2295,0.618
2296,0.702
2297,0.795
2298,0.873
2299,0.912
2300,0.898
2301,0.836
2302,0.752
2303,0.66
2304,0.574
2305,0.6
2306,0.49
2307,0.544
2308,0.506
2309,0.509
2310,0.507
2311,0.685
2312,0.826
2313,0.754
2314,0.694
2315,1.633
2316,2.421
2317,0.538
2318,0.601
2319,2.822
2320,0.792
2321,0.895
2322,2.48
2323,1.007
2324,0.98
2325,0.898
2326,0.788
2327,0.677
2328,0.587
2329,0.674
2330,0.638
2331,0.581
2332,0.527
2333,0.483
2334,0.449
2335,0.659
2336,0.806
2337,0.433
2338,0.427
2339,0.458
2340,0.51
2341,0.582
2342,0.858
2343,0.762
2344,0.834
2345,0.866
2346,0.847
2347,0.784
2348,0.698
2349,0.616
2350,0.554
2351,0.707
2352,0.653
2353,0.626
2354,0.555
2355,0.563
2356,0.598
2357,0.615
2358,0.849
2359,0.766
2360,0.878
2361,0.604
2362,0.489
2363,0.423
2364,0.445
2365,0.479
2366,0.525
2367,0.582
2368,0.645
2369,0.705
2370,0.752
2371,0.774
2372,0.761
2373,0.714
2374,0.649
2375,0.581
2376,0.525
2377,0.659
2378,0.563
2379,0.814
2380,0.508
2381,0.506
2382,0.664
2383,0.623
2384,0.873
2385,0.674
2386,0.486
2387,0.51
2388,0.547
2389,0.597
2390,0.665
2391,0.738
2392,0.808
2393,0.866
2394,0.885
2395,0.855
2396,0.795
2397,0.718
2398,0.643
2399,0.577
2400,0.531
2401,0.585
2402,0.52
2403,0.628
2404,0.531
2405,0.654
2406,0.615
2407,0.666
2408,0.84
2409,0.744
2410,0.475
2411,0.497
2412,0.531
2413,0.579
2414,0.644
2415,0.72
2416,0.8
2417,0.867
2418,0.906
2419,0.903
2420,0.844
2421,0.576
2422,0.667
2423,0.589
2424,0.535
2425,0.622
2426,0.539
2427,0.628
2428,0.563
2429,0.702
2430,0.618
2431,0.644
2432,0.611
2433,0.48
2434,0.516
2435,0.569
2436,1.543
2437,0.927
2438,0.525
2439,0.591
2440,0.678
2441,0.776
2442,0.867
2443,0.927
2444,0.933
2445,0.879
2446,0.785
2447,0.678
2448,0.589
2449,0.643
2450,0.611
2451,0.623
2452,0.512
2453,0.482
2454,0.584
2455,0.606
2456,0.598
2457,0.472
2458,0.47
2459,0.481
2460,0.498
2461,0.522
2462,0.552
2463,0.586
2464,0.795
2465,0.674
2466,0.687
2467,0.778
2468,0.762
2469,0.782
2470,0.732
2471,0.676
2472,0.676
2473,0.621
2474,0.557
2475,0.625
2476,0.717
2477,0.624
2478,0.625
2479,0.666
2480,0.783
2481,0.497
2482,0.498
2483,0.515
2484,0.541
2485,0.576
2486,0.621
2487,0.669
2488,0.706
2489,0.711
2490,0.675
2491,0.615
2492,0.554
2493,0.507
2494,0.476
2495,0.455
2496,0.692
